station_id,file,size_bytes,size_human,present
01345099999,01345099999.csv,650156,634.92 KiB,True
01346099999,01346099999.csv,1294625,1.23 MiB,True
01347099999,01347099999.csv,6595740,6.29 MiB,True
01350099999,01350099999.csv,1457955,1.39 MiB,True
01352099999,01352099999.csv,257498,251.46 KiB,True
01355099999,01355099999.csv,604125,589.97 KiB,True
01357099999,01357099999.csv,662864,647.33 KiB,True
01358099999,01358099999.csv,135273,132.10 KiB,True
01359099999,01359099999.csv,295991,289.05 KiB,True
01360099999,01360099999.csv,148448,144.97 KiB,True
01361099999,01361099999.csv,1543881,1.47 MiB,True
01362099999,01362099999.csv,143612,140.25 KiB,True
01364099999,01364099999.csv,755307,737.60 KiB,True
01365099999,01365099999.csv,139943,136.66 KiB,True
01366099999,01366099999.csv,741206,723.83 KiB,True
01367099999,01367099999.csv,1242275,1.18 MiB,True
01370099999,01370099999.csv,788275,769.80 KiB,True
01371099999,01371099999.csv,2194600,2.09 MiB,True
01373099999,01373099999.csv,813191,794.13 KiB,True
01374099999,01374099999.csv,151105,147.56 KiB,True
01375099999,01375099999.csv,1415736,1.35 MiB,True
01375599999,01375599999.csv,6123092,5.84 MiB,True
01376099999,01376099999.csv,609958,595.66 KiB,True
01378099999,01378099999.csv,1524403,1.45 MiB,True
01380099999,01380099999.csv,900168,879.07 KiB,True
01381099999,01381099999.csv,173631,169.56 KiB,True
01382099999,01382099999.csv,2078922,1.98 MiB,True
01383099999,01383099999.csv,687027,670.92 KiB,True
01384099999,01384099999.csv,7565410,7.21 MiB,True
01385099999,01385099999.csv,1471603,1.40 MiB,True
01386099999,01386099999.csv,542745,530.02 KiB,True
01387099999,01387099999.csv,350703,342.48 KiB,True
01389099999,01389099999.csv,739323,722.00 KiB,True
01392099999,01392099999.csv,710473,693.82 KiB,True
01393099999,01393099999.csv,905507,884.28 KiB,True
01397099999,01397099999.csv,252557,246.64 KiB,True
01403099999,01403099999.csv,1586979,1.51 MiB,True
01403399999,01403399999.csv,1876186,1.79 MiB,True
01406099999,01406099999.csv,919410,897.86 KiB,True
01408099999,01408099999.csv,6394468,6.10 MiB,True
01411099999,01411099999.csv,1130784,1.08 MiB,True
01412099999,01412099999.csv,1600978,1.53 MiB,True
01413099999,01413099999.csv,896395,875.39 KiB,True
01414099999,01414099999.csv,115427,112.72 KiB,True
01415099999,01415099999.csv,7577929,7.23 MiB,True
01416099999,01416099999.csv,573406,559.97 KiB,True
01417099999,01417099999.csv,107883,105.35 KiB,True
01418099999,01418099999.csv,88823,86.74 KiB,True
01419099999,01419099999.csv,422802,412.89 KiB,True
01422099999,01422099999.csv,1407947,1.34 MiB,True
01424099999,01424099999.csv,748480,730.94 KiB,True
01425099999,01425099999.csv,808812,789.86 KiB,True
01426099999,01426099999.csv,127321,124.34 KiB,True
01427099999,01427099999.csv,243998,238.28 KiB,True
01428199999,01428199999.csv,6504952,6.20 MiB,True
01430099999,01430099999.csv,453318,442.69 KiB,True
