stage,epoch,global_step,train_total,val_repair_mse,elapsed_seconds
pretrain,0,199647,0.021823437935087377,0.12975136167369783,398930.89
pretrain,1,287294,0.018895326917235226,0.1295866130385548,790622.65
finetune,0,374941,0.09801895630482467,0.10218134243041277,1182125.2
