run_id,job_type,backbone,method,seed,plan_status,checkpoint_last,checkpoint_best,history_rows,finished_pretrain_epochs,finished_finetune_epochs,finished_epochs_total,expected_epochs_total,current_stage,current_epoch,current_batch,current_batches,global_step_history,global_step_log,nominal_epoch_equiv,nominal_progress_pct,last_val_repair_mse,result_artifacts,artifact_state,log_file,example_result_files
train_climax_static_physics_loss_s42,train,climax,static_physics_loss,42,planned,False,False,0,0,0,0,8,finetune,1.0,210.0,87647.0,0,210,0.0024,0.03,,0,TRAIN_PARTIAL,runs/train_climax_static_physics_loss_s42/stdout.log,
train_climax_static_physics_loss_s43,train,climax,static_physics_loss,43,planned,False,False,0,0,0,0,8,finetune,1.0,210.0,87647.0,0,210,0.0024,0.03,,0,TRAIN_PARTIAL,runs/train_climax_static_physics_loss_s43/stdout.log,
train_climax_static_physics_loss_s44,train,climax,static_physics_loss,44,planned,False,False,0,0,0,0,8,finetune,1.0,200.0,87647.0,0,200,0.0023,0.03,,0,TRAIN_PARTIAL,runs/train_climax_static_physics_loss_s44/stdout.log,
train_climax_residual_repair_s42,train,climax,residual_repair,42,planned,False,False,0,0,0,0,8,finetune,1.0,220.0,87647.0,0,220,0.0025,0.03,,0,TRAIN_PARTIAL,runs/train_climax_residual_repair_s42/stdout.log,
train_climax_residual_repair_s43,train,climax,residual_repair,43,planned,False,False,0,0,0,0,8,finetune,1.0,210.0,87647.0,0,210,0.0024,0.03,,0,TRAIN_PARTIAL,runs/train_climax_residual_repair_s43/stdout.log,
train_climax_residual_repair_s44,train,climax,residual_repair,44,planned,False,False,0,0,0,0,8,finetune,1.0,220.0,87647.0,0,220,0.0025,0.03,,0,TRAIN_PARTIAL,runs/train_climax_residual_repair_s44/stdout.log,
train_climax_conservefm_full_s42,train,climax,conservefm_full,42,interrupted,True,True,3,2,1,3,8,finetune,2.0,60.0,87647.0,378941,424060,3.0007,37.51,0.0992639602627605,0,TRAIN_PARTIAL,runs/train_climax_conservefm_full_s42/stdout.log,
train_climax_conservefm_full_s43,train,climax,conservefm_full,43,interrupted,True,True,3,2,1,3,8,finetune,2.0,19759.0,87647.0,373941,393700,3.2254,40.32,0.099619599757716,0,TRAIN_PARTIAL,runs/train_climax_conservefm_full_s43/stdout.log,
train_climax_conservefm_full_s44,train,climax,conservefm_full,44,interrupted,True,True,3,2,1,3,8,finetune,2.0,20.0,87647.0,375941,421020,3.0002,37.5,0.0992921262513846,0,TRAIN_PARTIAL,runs/train_climax_conservefm_full_s44/stdout.log,
train_climax_no_corruption_pretrain_s42,train,climax,no_corruption_pretrain,42,interrupted,True,True,3,0,3,3,6,finetune,4.0,45449.0,87647.0,362941,408390,3.5185,58.64,0.0933188222115859,0,TRAIN_PARTIAL,runs/train_climax_no_corruption_pretrain_s42/stdout.log,
