method,clean_done,stress_done,clean_rmse,clean_mae,clean_acc,clean_repair,clean_phys_moist,clean_phys_hydro,clean_phys_adv,clean_phys_spec,stress_rmse,stress_mae,stress_repair,loc_iou,type_acc,stress_phys_moist,stress_phys_hydro,stress_phys_adv,stress_phys_spec,stress_conditions,clean_rmse_vs_full_%,stress_rmse_vs_full_%,stress_mae_vs_full_%
ConserveFM,True,True,164.19925630354956,51.943607862867964,0.9489811948210307,0.09062261072799309,0.00027845797025900326,0.00016494377884471452,40.517499096005686,2.0494193984899827,213.5357479731242,57.490830755233766,0.09896926879882813,0.11247417415428723,0.2,0.0005226023229018514,0.0004245028154400643,49.13725765546163,2.8091375142335893,60,0.0,0.0,0.0
No-pretrain,True,True,144.69921033591487,47.719035864680826,0.952052163506468,0.10196749462234002,0.00025139744523033415,0.0001447536329647242,46.82682187801536,1.9355001140920678,166.58999872207642,50.1474764029185,0.10304718017578125,0.0888233767511944,0.2,0.00031944431266310857,0.0003577730498970292,53.15903961956501,2.6134916792313256,60,-11.875843049852563,-21.984960221721938,-12.773087909582436
Direct-state,True,True,147.75323395427287,48.70956690176481,0.9502781348119204,0.10940043687925151,0.0003601832600773974,5.37297970350748e-05,34.158272691688616,1.11733036468045,153.25195878346761,49.8791205406189,0.11222301513577501,0.10195269550420108,0.2,0.0005208293676332687,5.440708300739061e-05,33.989418183763824,1.1137349769473075,60,-10.01589332345908,-28.231239856496515,-13.23986819223677
No-adv-constraint,True,True,166.50371839572367,51.97324475457759,0.9490653975460098,0.08774587203107902,0.0002561556015945237,0.0001588931180225519,,2.0529902518104968,188.18529405593873,54.58975318272908,0.09256540934244792,0.06771468445580618,0.20026041666666666,0.00047662447480737076,0.00042216876396802643,,2.772258870303631,60,1.40345464653866,-11.87176112562478,-5.046156986069605
Equal-weights,True,True,158.8647274246416,50.97646980514935,0.9474501199202421,0.09280507695405826,0.00031481129203547606,0.00010563160274017855,0.170707159861594,0.03019493668031893,401.3626001993815,67.63126962979635,0.14464365641276042,0.0700056332287204,0.2125,0.0026897729077366723,0.0008374279853948489,0.7159470581760009,0.8228382123090948,60,-3.2488142754107274,87.9603785357276,17.638358571883096
