lead,corruption,severity,type_acc,type_conf,type_entropy,loc_iou,router_moisture,router_hydrostatic,router_advection,router_spectral
6,moisture,0.25,0.0,0.9702668190002441,0.10294020920991898,0.07046154141426086,1.9015621433027263e-07,0.9999998211860657,3.633244828040935e-14,1.680930741820852e-11
6,moisture,0.5,0.0,0.9692401885986328,0.10580770671367645,0.04813266918063164,1.9017826957679063e-07,0.9999998211860657,3.422651092123245e-14,1.5959766494488825e-11
6,moisture,1.0,0.0,0.9714688062667847,0.09950834512710571,0.15588656067848206,1.873427066811928e-07,0.9999998211860657,3.8083590643035736e-14,1.7485971004482792e-11
6,moisture,2.0,0.0,0.9735221862792969,0.0934542790055275,0.26233118772506714,1.8118288380719605e-07,0.9999998211860657,3.785693817887764e-14,1.78546188250861e-11
6,hydrostatic,0.25,0.0,0.9699493646621704,0.1037360280752182,0.2149834781885147,1.6357560639335134e-07,0.9999998211860657,3.5576935549039984e-14,1.6218245496579797e-11
6,hydrostatic,0.5,0.0,0.9700669050216675,0.10329955816268921,0.35889893770217896,1.28079022942984e-07,0.9999998807907104,2.930392812628725e-14,1.3337785736977636e-11
6,hydrostatic,1.0,0.0,0.9715375304222107,0.09490966796875,0.42854970693588257,3.5079260385373345e-08,1.0,6.449139453804792e-15,3.1486419374560093e-12
6,hydrostatic,2.0,0.0,0.9452791213989258,0.12998008728027344,0.3654524087905884,2.612254856870777e-09,1.0,3.218110306586194e-16,1.6637545833218803e-13
6,advection,0.25,0.0,0.9699739217758179,0.10376061499118805,0.07688631117343903,1.8864037087951147e-07,0.9999998211860657,3.5404418654606806e-14,1.6440111424986803e-11
6,advection,0.5,0.0,0.9698924422264099,0.10395199805498123,0.07965587079524994,1.8837731374787836e-07,0.9999998211860657,3.38574451135866e-14,1.5951372167588573e-11
6,advection,1.0,0.0,0.9700815677642822,0.10346285253763199,0.08938593417406082,1.8910918697656598e-07,0.9999998211860657,3.5745647571474096e-14,1.659833034906022e-11
6,advection,2.0,0.0,0.969901978969574,0.10393121093511581,0.09571609646081924,1.8578651861389517e-07,0.9999998211860657,3.282700242819743e-14,1.5595229968523583e-11
6,spectral,0.25,0.0,0.9699793457984924,0.10375267267227173,0.07888482511043549,1.8935003254227922e-07,0.9999998211860657,3.5694493557723514e-14,1.653912076737818e-11
6,spectral,0.5,0.0,0.9699773788452148,0.10375842452049255,0.059908006340265274,1.8935847378998005e-07,0.9999998211860657,3.5694493557723514e-14,1.653912076737818e-11
6,spectral,1.0,0.0,0.9699773788452148,0.10375842452049255,0.08594614267349243,1.8935847378998005e-07,0.9999998211860657,3.5694493557723514e-14,1.653912076737818e-11
