backbone,method,n,stress_rmse,stress_rmse_std,stress_mae,loc_iou,type_acc
climax,direct_state_prediction,3,144.99761369493274,9.163763262926224,48.06588060590956,0.08630308875261916,0.20972222222222223
climax,no_corruption_pretrain,3,166.150420888265,2.2395997889782016,50.19661212497288,0.06287750433437193,0.20000000000000004
climax,no_advection_constraint,3,189.41030362447103,3.1954848267431117,54.905406443278,0.0668927397816737,0.20243055555555556
climax,no_constraint_type_head,3,190.65367062886557,4.71213690532702,54.55740080939398,0.05625037837109833,
climax,no_hydrostatic_constraint,3,195.31592076619464,8.967784569661575,56.665897157457145,0.02302765698847098,0.20243055555555556
climax,no_hydrostatic_corruption,3,209.3507412804498,51.83292985650666,58.287967130872936,0.11354053685792881,0.32569444444444445
climax,no_advection_corruption,3,209.75027775234648,17.702258026495578,57.0648994869656,0.08669209928173384,0.22291666666666665
climax,no_moisture_corruption,3,234.5516318427192,2.9492133923026027,61.653430684407546,0.15505475903294913,0.37743055555555555
climax,no_moisture_constraint,3,235.20109142727324,1.8734758250119632,62.71749072604709,0.1666296418291394,0.3920138888888889
climax,residual_repair,3,246.33533825344512,0.49247491476206606,61.623894627889,,
climax,no_minimal_change,3,247.07258317735463,1.549549717593031,62.510868284437386,0.1536484815694065,0.378125
climax,no_range_extreme_corruption,3,247.88720372517903,2.5910993064064005,62.25586933559841,0.15326386624639984,0.37881944444444443
climax,static_learned_weights,3,247.91057934231227,1.191910338000176,63.065981313917376,0.17201926568126913,0.40625
climax,no_spectral_constraint,3,250.01794323391383,0.6857050320789093,63.325150362650554,0.15977211446776587,0.3829861111111111
climax,no_spectral_corruption,3,252.0856101989746,1.318608938366329,63.4447303560045,0.1470116192872916,0.36215277777777777
climax,static_physics_loss,3,252.25977350870767,1.0629687708014146,64.22712427775065,,
climax,equal_constraint_weights,3,267.1592697143555,105.72123900508714,58.67924840715196,0.08511512298329965,0.20972222222222223
climax,no_localization_head,3,307.10957340664334,101.91397217622907,66.35149510701497,,0.31631944444444443
climax,manual_tuned_weights,3,409.01972575717497,369.6271734408921,64.362445280287,0.07413489981393771,0.20451388888888888
climax,conservefm_full,3,428.8780893113878,269.5607436728018,73.67068998548719,0.09901663988682939,0.2590277777777778
fourcastnet,conservefm_full,3,157.56934140523276,45.5681120808112,33.606965944502086,0.08445288613414353,0.30763888888888885
prithvi_wxc,conservefm_full,3,1583.1243570963543,10.649651036683451,443.8628707885742,0.08624371053754455,0.20000000000000004
