stage,epoch,global_step,train_total,val_repair_mse,elapsed_seconds
pretrain,0,183647,0.012147612846319985,0.12812856724485755,394525.66
pretrain,1,271294,0.009462100618900056,0.12819527625106275,788713.61
finetune,0,358941,0.09223546030906385,0.09906175651121885,1183130.93
