Comparison,Mean NRMSE difference,95% CI low,95% CI high,Bootstrap P(diff < 0)
ConserveFM-Acc - Direct state,-0.006312296181570738,-0.008681230009254486,-0.003847590800028571,1.0
ConserveFM-Acc - ConserveFM-Phys,-0.015173460499158065,-0.017260815811037188,-0.013195160794065559,1.0
ConserveFM-Acc - Original full,-0.03318558634310196,-0.059619543968456305,-0.013264520891314502,1.0
