Method,Clean NRMSE ↓,Clean ACC ↑,Stress NRMSE ↓,Stress ACC ↑,Loc. IoU ↑,Type Acc. ↑,|Δx| ↓
No corruption pretraining,0.3070288907652158,0.9529603605126354,0.3007588159324912,0.9503094700373588,0.08931103857855,0.2,0.1030599733193715
Direct state prediction,0.3130185662528756,0.9510481114596094,0.3070711121140619,0.9487239509348324,0.1026708800622865,0.2,0.1121767519041895
ConserveFM (smart-final),0.3193139580166733,0.948698907940799,0.3159322764316493,0.9458024186641124,0.0752260304397054,0.2140625,0.1036239090686043
ConserveFM (original),0.3163945158701176,0.949752100998476,0.3339444022755932,0.940117816442142,0.1135053519672169,0.2,0.098602142278105
