Method,Clean NRMSE,Clean ACC,Stress NRMSE mean,Stress NRMSE CI low,Stress NRMSE CI high,Stress ACC mean,Stress ACC CI low,Stress ACC CI high,Loc IoU,Type Acc
ConserveFM-Acc,0.3070288907652158,0.9529603605126354,0.30075881593249115,0.2797000181577491,0.3214527691536139,0.950309470037359,0.9434621050837962,0.9571672937049293,0.08931103857855,0.2
Direct state,0.3130185662528756,0.9510481114596094,0.30707111211406185,0.2870760021401213,0.32671849913388684,0.9487239509348325,0.9420090867352735,0.9554310357786597,0.1026708800622865,0.2
ConserveFM-Phys,0.3193139580166733,0.948698907940799,0.3159322764316493,0.2968285858919867,0.3347492637682903,0.9458024186641124,0.9391929378105607,0.9523958328674594,0.0752260304397054,0.2140625
Original full,0.3163945158701176,0.949752100998476,0.3339444022755931,0.3050650373018259,0.36622044462689246,0.9401178164421423,0.9296078848051635,0.9495441616095397,0.1135053519672169,0.2
