Method,Moisture ratio ↓,Hydrostatic ratio ↓,Advection ratio ↓,Spectral ratio ↓,Physics ratio GM ↓,Loc. IoU ↑,Type Acc. ↑,|Δx| ↓,Stress NRMSE ↓
No corruption pretraining,0.4677578269847994,0.886893702499185,1.4093710014911807,0.9280976565362407,0.8582778615866165,0.08931103857855,0.2,0.1030599733193715,0.3007588159324912
Direct state prediction,0.7869837505619487,0.13630418239261594,0.8660785610848057,0.39505663591153295,0.43769632397495206,0.1026708800622865,0.2,0.1121767519041895,0.3070711121140619
ConserveFM (smart-final),0.36016201652152985,0.6570379996050865,0.0927070597854723,0.6787527723855614,0.3493238236419073,0.0752260304397054,0.2140625,0.1036239090686043,0.3159322764316493
ConserveFM (original),0.7437612153919492,1.0450460587170582,1.3441702388849366,0.9979725441661619,1.0104979970952719,0.1135053519672169,0.2,0.098602142278105,0.3339444022755932
