Method,Stress NRMSE mean,Physics GM,Pareto
ConserveFM-Acc,0.30075881593249115,0.8519796096810297,True
Direct state,0.30707111211406185,0.5072395162086363,True
ConserveFM-Phys,0.3159322764316493,0.332453261089014,True
Original full,0.3339444022755931,0.9592275801393333,False
