Method,Physics GM,Physics GM CI low,Physics GM CI high,moisture ratio,moisture CI low,moisture CI high,hydrostatic ratio,hydrostatic CI low,hydrostatic CI high,advection ratio,advection CI low,advection CI high,spectral ratio,spectral CI low,spectral CI high
ConserveFM-Acc,0.8519796096810297,0.8372769158416267,0.8648469246483028,0.4939030548660938,0.4673908938315494,0.5187080301726926,0.8270149085819979,0.8129721250567099,0.8429195974059686,1.394465831861122,1.3535735409280032,1.4363318683402049,0.9250258632509597,0.904266453539658,0.9456777746020693
Direct state,0.5072395162086363,0.45853043382180536,0.5534869589482306,0.7301698441890466,0.652016728765064,0.8342641259676733,0.21478989183260835,0.17695499593358308,0.2533280084726326,1.0006956661260176,0.9278468895643646,1.065541424202151,0.42180581991592353,0.3667413091480904,0.47988929822727916
ConserveFM-Phys,0.332453261089014,0.31588455119979103,0.3508249305756711,0.26274430059582843,0.23695171412684296,0.2918307893343832,0.4635932727390191,0.4402871135191632,0.4912049277798432,0.1676335564688535,0.1345745990336549,0.21021809648398657,0.5982614250386707,0.5759607059632827,0.6241876865862611
Original full,0.9592275801393333,0.9045238770816031,1.0307903210080631,0.6354620449451915,0.5485316933066585,0.7516459520805803,0.9819158082329245,0.9233336491403461,1.061825065165959,1.3612926193146244,1.2939746719664034,1.4506219919830325,0.9967156361435751,0.9834957971320896,1.0113218557109562
