Method,Macro,Advection,Hydrostatic,Moisture,Range/extreme,Spectral,Sev .25,Sev .5,Sev 1,Sev 2,6 h,24 h,72 h
No corruption pretraining,0.3007588159324912,0.2969833462088155,0.3074601244827274,0.2970460451580104,0.3072309201504581,0.2950736436624446,0.2954904134757485,0.2961894553265278,0.299224635952794,0.3121307589748945,0.203491942171222,0.2944220641568863,0.4043624414693654
Direct state prediction,0.3070711121140619,0.3041006807377339,0.3203991153440012,0.304324622420887,0.3042773060073751,0.3022538360603127,0.3026617897462073,0.3033198980908767,0.3059572231115501,0.3163455375076137,0.214811039214741,0.3007528029218915,0.4056494942055534
ConserveFM (smart-final),0.3159322764316493,0.3120763127255974,0.322021510676051,0.3129368297544222,0.3229578273861151,0.3096689016160607,0.3101685784454024,0.3109390904106229,0.3143833405750008,0.328238096295571,0.2291447322720181,0.307420431498457,0.4112316655244727
ConserveFM (original),0.3339444022755932,0.3090194726695929,0.423515099274462,0.3092441504884545,0.3214773314337228,0.3064659575117336,0.3071399048180165,0.3084260886453887,0.3136408511396674,0.4065707644993001,0.2538981378214416,0.3250852974116827,0.4228497715936551
