stage,epoch,global_step,train_total,val_repair_mse,elapsed_seconds
pretrain,0,183647,0.022001709985668784,0.1309029795229435,398768.17
pretrain,1,271294,0.017942226100492422,0.13013694412074983,790462.21
finetune,0,358941,0.09897324300702541,0.1028797528706491,1181959.55
