model,lead_hours,corruption,severity,channel_index,channel,repaired_nrmse,corrupted_input_nrmse,repaired_nmae,corrupted_input_nmae,repaired_acc,corrupted_input_acc,repaired_rmse_phys,corrupted_input_rmse_phys
OLD_Full,6,moisture,0.25,0,geopotential@50hPa,0.053181038617450285,0.07658766620174053,0.04193848439378468,0.06132414730038602,0.9980743949348315,0.995747794877789,306.19491946712344,440.9608066700664
OLD_Full,6,moisture,0.25,1,geopotential@100hPa,0.054161498760588414,0.06381652226170248,0.04285506689975982,0.050010027373531246,0.998464993769191,0.997621169082556,295.19389281080373,347.81621372592673
OLD_Full,6,moisture,0.25,2,geopotential@150hPa,0.046725301106869635,0.054049813439700736,0.03691446064448979,0.042104125818103175,0.9989173248026741,0.9984193801452299,271.0238520918199,313.5087162250585
OLD_Full,6,moisture,0.25,3,geopotential@200hPa,0.04497262931593188,0.05093636317288081,0.035514763143582935,0.03969587162511632,0.9990049853867451,0.9986231923759091,261.62668112705904,296.3204829314497
OLD_Full,6,moisture,0.25,4,geopotential@250hPa,0.03380305063079461,0.039798337639497416,0.026918986944972224,0.03022576138792699,0.9994284160641814,0.9991922312585652,187.45270737318094,220.69919338214967
OLD_Full,6,moisture,0.25,5,geopotential@300hPa,0.047597229388495386,0.050723765752695986,0.03753046996555271,0.0393955231572404,0.9988521594939967,0.9986024231829418,243.00265471695462,258.96485554677605
OLD_Full,6,moisture,0.25,6,geopotential@400hPa,0.050578976263608744,0.05370587084804028,0.03978398400733796,0.0417619250506429,0.9986500340517536,0.9984053611408016,210.61626134151822,223.63699440711332
OLD_Full,6,moisture,0.25,7,geopotential@500hPa,0.0397992381766359,0.046031210418860644,0.03140792613940526,0.035468556327206115,0.9991172673204497,0.9988247350480203,133.87820572617082,154.84155082502465
OLD_Full,6,moisture,0.25,8,geopotential@600hPa,0.045843067162797485,0.05354815384835388,0.03655628665717462,0.04193144991826293,0.9988300540896387,0.9983975583369507,123.8940924786698,144.71762803732852
OLD_Full,6,moisture,0.25,9,geopotential@700hPa,0.05613919488224018,0.06446754364778864,0.044960452464922834,0.05088341593598674,0.9982988740161949,0.9976749486216421,119.99689759084363,137.79864948254718
OLD_Full,6,moisture,0.25,10,geopotential@850hPa,0.08351364513167853,0.091751247153341,0.06618101819522192,0.0720562467740621,0.9962303777326047,0.9952140396959416,122.38484781344381,134.45662027456757
OLD_Full,6,moisture,0.25,11,geopotential@925hPa,0.10387426327881397,0.11684411785955771,0.08162891287291044,0.09141104188272793,0.9939319285233328,0.9921699236981807,126.98242357312994,142.8375855015961
OLD_Full,6,moisture,0.25,12,geopotential@1000hPa,0.12849779889335475,0.15861120439039617,0.10059165498803906,0.12231791727856284,0.989882370350633,0.9848691165709694,136.94991559404667,169.04407891504914
OLD_Full,6,moisture,0.25,13,temperature@50hPa,0.12177695061867302,0.22330950264502777,0.09427326110961078,0.16862701819202594,0.9846588313200348,0.9518316108892976,1.2579031106140683,2.3066904132591413
OLD_Full,6,moisture,0.25,14,temperature@100hPa,0.12066469831661567,0.15874156533358336,0.09361719389611269,0.12405978392008783,0.9916077600409221,0.9855914415907068,1.5233351098669845,2.004037608474236
OLD_Full,6,moisture,0.25,15,temperature@150hPa,0.1252076159353995,0.18544546211994123,0.09638647015677858,0.14066797754933655,0.9889192430889957,0.9757119187740998,1.1164072928604445,1.6535149731598044
OLD_Full,6,moisture,0.25,16,temperature@200hPa,0.1492329622279953,0.2407859303890222,0.11199534213185423,0.17656771926123957,0.9817033694287176,0.9524024776763318,1.0612541258681332,1.7123231826327356
OLD_Full,6,moisture,0.25,17,temperature@250hPa,0.13000844557782482,0.1675459554327367,0.09693147388808013,0.12386480943196328,0.9910007340810469,0.9853379148959484,1.0992492924402877,1.4166369570983697
OLD_Full,6,moisture,0.25,18,temperature@300hPa,0.10606426260529533,0.1369036953140463,0.07914872925345738,0.10154336992192764,0.9944490751698568,0.9906989366184891,1.132981414311603,1.4624090937201195
