model,lead_hours,channel_index,channel,repaired_nrmse,raw_forecast_nrmse,repaired_nmae,raw_forecast_nmae,repaired_acc,raw_forecast_acc,repaired_rmse_phys,raw_forecast_rmse_phys,repaired_mae_phys,raw_forecast_mae_phys
OLD_Full,6,0,geopotential@50hPa,0.05290958457937948,0.07522331706877264,0.041569137655353174,0.05953906772918929,0.9978278912037182,0.9954133839606534,304.63199661115925,433.1054452518675,239.33828737292046,342.80187525265535
OLD_Full,6,1,geopotential@100hPa,0.05404828955817731,0.06378335757915135,0.042715694564756594,0.049765358085698395,0.9983858439017483,0.9975011634985304,294.5768744877981,347.6354640966588,232.81135958111832,271.23381743384084
OLD_Full,6,2,geopotential@150hPa,0.04637185611713648,0.05383456275932402,0.03655415705025256,0.04181577871273436,0.9988919703858122,0.9983886189670539,268.973747146075,312.26017173956154,212.02749728404362,242.54682358971297
OLD_Full,6,3,geopotential@200hPa,0.04466053423786768,0.05049609801719168,0.035187619650570566,0.03926756568503883,0.9989897886678363,0.9986213581221794,259.81106621191566,293.7592487178936,204.70272318817226,228.4376636930364
OLD_Full,6,4,geopotential@250hPa,0.03352758028318552,0.040086305325330106,0.026559657304944567,0.03042485593498691,0.9994198476264844,0.999175551886409,185.9251015354353,222.29610269671554,147.28491914228061,168.71913998058255
OLD_Full,6,5,geopotential@300hPa,0.04733173517785531,0.050572328296207184,0.03721819641543217,0.03918547790228397,0.9988357983653533,0.9985894811156094,241.64720613446676,258.19171314614357,190.01359559468415,200.05734613743465
OLD_Full,6,6,geopotential@400hPa,0.05030882440753252,0.05347535745839723,0.0394947214429182,0.041512530343602035,0.9986340311398763,0.9983943691740768,209.49132516745894,222.67711189707595,164.4602442338124,172.86262124791904
OLD_Full,6,7,geopotential@500hPa,0.039640757899906884,0.04593249279039142,0.03130658896265696,0.03543629105942646,0.9991097418795567,0.9988138076940438,133.34510265320688,154.50948234392843,105.3103052957618,119.20195749254651
OLD_Full,6,8,geopotential@600hPa,0.04579336242446309,0.05327374368662941,0.036525446389730466,0.04167541909325628,0.9988172784249283,0.9983888952455469,123.75975891134306,143.97601298794197,98.71256960620646,112.6307296240868
OLD_Full,6,9,geopotential@700hPa,0.05613857424873627,0.06426487407599793,0.044871044201899996,0.05058754093662818,0.9982805412348075,0.9976530502976367,119.99557236615026,137.36544661502063,95.91135284494575,108.13030148471795
OLD_Full,6,10,geopotential@850hPa,0.08322470193048039,0.09175485273527685,0.06587391629254225,0.07198864495725474,0.9962336451859621,0.995168160859651,121.96141159169218,134.46189893389018,96.53475049468737,105.49556403208082
OLD_Full,6,11,geopotential@925hPa,0.10365248420749247,0.11739608088703089,0.08137048498854887,0.09163738624347997,0.9939598167720185,0.9921069439982626,126.7113033608942,143.51233885183123,99.47238890802419,112.02329274735825
OLD_Full,6,12,geopotential@1000hPa,0.12789355193643653,0.15975034419445708,0.10009775405487051,0.12318018263428297,0.9901174892318412,0.9849290907140414,136.30592613642642,170.25814538967347,106.68182207369601,131.28253065568825
OLD_Full,6,13,temperature@50hPa,0.12197062358531223,0.22375961504988848,0.09452185468780162,0.169552437239067,0.9848410674837643,0.9522776461957775,1.25990372280566,2.311339939680664,0.9763698287832925,1.7514032722679644
OLD_Full,6,14,temperature@100hPa,0.11934292000866646,0.15825548286443938,0.09273553057490694,0.1236910906477921,0.9919173471975127,0.985829568679,1.506648257859905,1.9979010720604384,1.1707424796978223,1.5615418675046722
OLD_Full,6,15,temperature@150hPa,0.12581616435141546,0.18829050013939735,0.09657513936092277,0.14238919384261406,0.9883822774185357,0.9740657550488256,1.1218333615145273,1.6788825580573825,0.8611072664781074,1.2696059396904538
OLD_Full,6,16,temperature@200hPa,0.14915087235301838,0.24158503689515795,0.11223008169183324,0.17820063626087793,0.9805120524339128,0.9489049742971747,1.0606703223104028,1.718005912612795,0.7981121023436096,1.2672545857462503
OLD_Full,6,17,temperature@250hPa,0.13015503403494538,0.16796476447216235,0.09702754610553056,0.12408886053954751,0.9906759826461163,0.9848529254919584,1.1004887306635311,1.4201781155378768,0.8203887184781387,1.0491979402873808
OLD_Full,6,18,temperature@300hPa,0.1060898387533764,0.13612639145809943,0.07929839791916003,0.10140293261335294,0.9943324427813964,0.9906343256200136,1.133254603826579,1.4541058948709982,0.8470676904254874,1.0831889514079154
OLD_Full,6,19,temperature@400hPa,0.09529339495270707,0.1049372335895104,0.07323924430406614,0.07957677285811546,0.9952856915700515,0.9942066556422643,1.2117002429811339,1.3343261875191108,0.9312713771011586,1.011856020181509
OLD_Full,6,20,temperature@500hPa,0.08342452177762003,0.0914272022730957,0.06396878871798158,0.0695229437782388,0.9961296934401828,0.995539541720316,1.0942420248839384,1.1992095934874312,0.8390499121731796,0.9119012696870994
OLD_Full,6,21,temperature@600hPa,0.08665146541248546,0.09054393699536924,0.06735765005089679,0.06899299985363323,0.9958132714175439,0.9953348370141207,1.1695248061074173,1.222061043374141,0.9091184194305603,0.9311905352849194
OLD_Full,6,22,temperature@700hPa,0.08292590949543222,0.09011873173013835,0.06311464682318572,0.06745765641369408,0.9957562588590083,0.9949829875220811,1.235602900322675,1.3427765501261757,0.9404134522314302,1.0051246437472674
OLD_Full,6,23,temperature@850hPa,0.09635687922078738,0.12249402724634363,0.07204032269214981,0.08968681160687948,0.9943798295691971,0.9907827037928384,1.5113011731941315,1.9212470279598148,1.1299102439618183,1.4066850947030527
OLD_Full,6,24,temperature@925hPa,0.09990738976349417,0.13038209651015972,0.07104365882526448,0.09081051671970594,0.9939703008395118,0.9895853179385617,1.6160078602810632,2.10893803890243,1.149135312682583,1.468865420739023
