model,corruption,repaired_nrmse,repaired_nmae,repaired_acc,repaired_rmse_phys_mixed,repaired_mae_phys_mixed,corrupted_input_nrmse,nrmse_improvement_pct,localization_iou,type_accuracy,repair_l1_norm,repaired_phys_moisture,corrupted_input_phys_moisture,era5_target_phys_moisture,physics_improvement_moisture_pct,repaired_phys_hydrostatic,corrupted_input_phys_hydrostatic,era5_target_phys_hydrostatic,physics_improvement_hydrostatic_pct,repaired_phys_advection,corrupted_input_phys_advection,era5_target_phys_advection,physics_improvement_advection_pct,repaired_phys_spectral,corrupted_input_phys_spectral,era5_target_phys_spectral,physics_improvement_spectral_pct
Direct_State,advection,0.3041006807377339,0.18142860917396664,0.949793931038771,140.78406015857374,45.254992343181414,0.3560415514860746,15.86405243521601,0.07199700820920422,0.3333333333333333,0.11013525476058324,0.00038133845979852293,0.0005413693773637837,4.0472938356591236e-05,28.997190595794322,5.460022233213143e-05,0.00018803820421453565,5.821020507331317e-05,70.94080512667296,33.948955257733665,33.23082606991132,45.38489031791687,-9.98890306901346,1.1222640424966812,2.073015088836352,0.003148488816805184,46.473608627525806
Direct_State,hydrostatic,0.3203991153440012,0.1935273712359394,0.9443386470037772,172.4049908722018,52.667691873131126,0.36212105566556185,12.614903873072684,0.2312496898084646,0.0,0.11722810907910268,0.0008974093252618331,0.000507072705659084,4.0472938356591236e-05,-72.98235491990344,5.4083419551413194e-05,0.00022455135149357375,5.821020507331317e-05,74.86680441540004,32.71261655290922,33.18302901585897,45.38489031791687,-4.464142782779131,1.1314851144949596,2.1879110833009086,0.003148488816805184,48.60088206803362
Direct_State,moisture,0.304324622420887,0.18182945179795798,0.9495176615112669,140.46483233130803,45.18240693152696,0.35793450719957437,16.211311044272005,0.06805762227410621,0.6666666666666666,0.11081129964441061,0.0006558201251512704,0.0013298427378079698,4.0472938356591236e-05,40.19084569673945,5.4224543570550544e-05,0.00018402748052418852,5.821020507331317e-05,70.51471840291582,34.12296133240064,33.18302901585897,45.38489031791687,-10.260540761063334,1.1179293245077133,2.072003702322642,0.003148488816805184,46.66987802455686
Direct_State,range_extreme,0.3042773060073751,0.18225191902909846,0.9496765339649201,143.8775446362449,45.93552202649398,0.36488904743325284,17.731908926295784,0.07449797489285477,0.0,0.11332095103959243,0.0003780722011773226,0.0005316873309008466,4.0472938356591236e-05,28.294982969737593,5.4588990982059236e-05,0.0012156957085001825,5.821020507331317e-05,88.95219225948529,35.10725091894468,63.821218897898994,45.38489031791687,20.46727144190852,1.0771453380584717,5.6865745186805725,0.003148488816805184,75.57702806996548
Direct_State,spectral,0.3022538360603127,0.18048482411588954,0.9502929811554274,139.5207954884871,44.84109628605629,0.35296769360279784,15.662617030082252,0.06755210512680303,0.0,0.10938814499725898,0.00037651867872530903,0.0005070727214236589,4.0472938356591236e-05,25.27481583400035,5.461234574492361e-05,0.00018402748052418852,5.821020507331317e-05,70.30253386141813,34.380241384108864,33.183028926452,45.38489031791687,-10.922099443990797,1.1181199674805005,2.0720037122567496,0.003148488816805184,46.665141752903395
No_Pretrain,advection,0.29698334620881556,0.1771256188217968,0.9516039792862759,130.4269351348409,42.49252099434894,0.3560415514860746,18.011862981864645,0.09063458535820246,0.0,0.10237832677861054,0.00028235822840845987,0.0005413693773637837,4.0472938356591236e-05,48.14444492337216,0.00015000932459467245,0.00018803820421453565,5.821020507331317e-05,20.227247915837083,47.99979117512703,33.23082606991132,45.38489031791687,-43.21990497556224,1.941749448577563,2.073015088836352,0.003148488816805184,6.648901539008918
No_Pretrain,hydrostatic,0.30746012448272747,0.18263379318099113,0.9490107372915845,191.14887491438435,54.66523096867551,0.36212105566556185,16.386205931857038,0.0880893561989069,0.0,0.10334106038014094,0.00025290989894225885,0.000507072705659084,4.0472938356591236e-05,50.37629511924061,0.00020199297614453826,0.00022455135149357375,5.821020507331317e-05,11.87030528590835,46.9580671886603,33.18302901585897,45.38489031791687,-39.06340997208512,2.0332773675521216,2.1879110833009086,0.003148488816805184,7.3335625063154
No_Pretrain,moisture,0.2970460451580104,0.17728214619729085,0.9511976512035457,130.32983019518002,42.48892541002015,0.35793450719957437,18.3939338516202,0.08834700441608827,0.0,0.10301190428435802,0.0005035310866029855,0.0013298427378079698,4.0472938356591236e-05,56.74832043769356,0.00014585614371753763,0.00018402748052418852,5.821020507331317e-05,20.740555762467384,47.38590375582377,33.18302901585897,45.38489031791687,-40.19827315671315,1.9343570123116176,2.072003702322642,0.003148488816805184,6.976195902492159
No_Pretrain,range_extreme,0.3072309201504581,0.18107711975848398,0.9475969631339183,210.98033879444338,47.16291923635219,0.3649067499944368,17.081945963270133,0.08907549393673737,0.0,0.10464969525734584,0.00029729426629880135,0.0005315560180558047,4.0472938356591236e-05,44.50362356723152,0.0011261294639552943,0.001214684490453995,5.821020507331317e-05,11.710552291564062,91.28067174553871,66.68218022584915,45.38489031791687,-39.07913780915375,5.231100211540858,5.683786104122798,0.003148488816805184,7.8166388336553245
No_Pretrain,spectral,0.29507364366244465,0.1759997161593683,0.9521380192714702,129.71790888326532,42.31834056217705,0.35296769360279784,17.849015049245924,0.0904087529828151,1.0,0.10191887989640236,0.00026219458171302296,0.0005070727214236589,4.0472938356591236e-05,48.55370373999963,0.00014565682249667589,0.00018402748052418852,5.821020507331317e-05,20.848790888814577,47.491656263669334,33.183028926452,45.38489031791687,-40.36287828416611,1.9352236886819203,2.0720037122567496,0.003148488816805184,6.936258241992014
