model,channel_index,channel,repaired_nrmse,corrupted_input_nrmse,repaired_nmae,corrupted_input_nmae,repaired_acc,corrupted_input_acc,repaired_rmse_phys,corrupted_input_rmse_phys
Direct_State,0,geopotential@50hPa,0.08412073702201915,0.09631578983678052,0.06594104007012148,0.06549237844151089,0.995107713251367,0.9916903078109384,484.3331958450465,554.5473801363646
Direct_State,1,geopotential@100hPa,0.05911358142693006,0.08551474495071947,0.0464764256903263,0.05809290477541791,0.9980519522108471,0.9948948640325953,322.1839995377547,466.07703275439593
Direct_State,2,geopotential@150hPa,0.04933136320939368,0.0752662139250627,0.038429952767364224,0.05054033449968688,0.998616056599312,0.9963839061503911,286.1399729973633,436.5716023032109
Direct_State,3,geopotential@200hPa,0.04887086617818109,0.07322751370980908,0.037168952549394244,0.04907635713442966,0.9985726576978392,0.9966569467734065,284.3045227048537,425.9984531889948
Direct_State,4,geopotential@250hPa,0.05183850342287288,0.06745731504551734,0.037928497186342953,0.04216067119949227,0.9983013314352148,0.9970290644093613,287.46718141538264,374.0803262939706
Direct_State,5,geopotential@300hPa,0.05663291092450054,0.07668689931781723,0.040941056313556635,0.05088165437636484,0.9979198515471055,0.9962341276896498,289.13338132359434,391.51691234357685
Direct_State,6,geopotential@400hPa,0.060024338730620505,0.08015710124647284,0.042759738048959856,0.05314858635561657,0.9976107521699328,0.9958258718333479,249.9477645950149,333.782743289861
Direct_State,7,geopotential@500hPa,0.06508226732104486,0.07689468139511405,0.04702082235271568,0.04889387416698227,0.9972078715951013,0.9960293876980832,218.92622890323855,258.66128040792944
Direct_State,8,geopotential@600hPa,0.07503733794919684,0.08730814023592857,0.05486756534505085,0.05693185410375699,0.9963765336765125,0.9950352200641125,202.79364572670144,235.9563470700435
Direct_State,9,geopotential@700hPa,0.0910114355082699,0.10587057633967213,0.06604328768104092,0.06952943511863195,0.9946618910758072,0.9927435766609791,194.53592094598042,226.29716944334277
Direct_State,10,geopotential@850hPa,0.13054309939210665,0.1531289150726418,0.09138641855508876,0.10047426880072612,0.9884920191139696,0.9845469120450008,191.30402876062973,224.40235221525572
Direct_State,11,geopotential@925hPa,0.15963805242840529,0.1971714276869183,0.11025270601480838,0.1283148441149571,0.9824970287173312,0.9743227526329257,195.15157498083593,241.03473163596195
Direct_State,12,geopotential@1000hPa,0.19185625704434772,0.25546161414615576,0.13276265165792123,0.16757146290280167,0.9742348340357435,0.9569096629991237,204.47586724754606,272.2649570320518
Direct_State,13,temperature@50hPa,0.17474474097887718,0.22625488672298272,0.13205983059464857,0.1685109066219372,0.9680568693150082,0.9504710002757283,1.8050374953815969,2.337114986677084
Direct_State,14,temperature@100hPa,0.1341752570172387,0.1674159782620444,0.1020534722122348,0.1279682585910044,0.9889678222827619,0.9838763706668151,1.6938995367986596,2.113548016029292
Direct_State,15,temperature@150hPa,0.16942373267162847,0.20586609578713527,0.12600271460399287,0.1525003022860281,0.9772714475479058,0.9686892634022696,1.510658000230124,1.8355944644017965
