model,clean_nrmse,clean_nmae,clean_acc,clean_rmse_phys_mixed,clean_raw_nrmse,clean_nrmse_improvement_pct,macro_stress_nrmse,macro_stress_nmae,macro_stress_acc,macro_stress_rmse_phys_mixed,macro_corrupted_input_nrmse,macro_stress_nrmse_improvement_pct,macro_localization_iou,macro_type_accuracy,macro_repair_l1_norm
OLD_Full,0.31639451587011763,0.1841970906699536,0.9497521009984761,151.10185088453542,0.35600180084994515,11.125585568743231,0.3339444022755932,0.19403451747874412,0.9401178164421421,213.76157654381322,0.3587982251729787,8.186039116444192,0.11350535196721694,0.2,0.09860214227810501
No_Pretrain,0.30702889076521583,0.17638478142922437,0.9529603605126354,134.88194367630038,0.35600180084994515,13.756365829556973,0.30075881593249126,0.1788236788235862,0.9503094700373589,158.5207775844228,0.35879431158968905,17.54459275557159,0.08931103857855002,0.2,0.10305997331937154
Direct_State,0.3130185662528756,0.18092332105972947,0.9510481114596094,144.77383685029938,0.35600180084994515,12.073881226007334,0.30707111211406196,0.1839044350705704,0.9487239509348325,147.4104446973631,0.35879077107745233,15.616958661787747,0.10267088006228657,0.2,0.11217675190418959
Smart_Final,0.31931395801667334,0.1899261280647444,0.948698907940799,157.12949507024388,0.35600180084994515,10.305521698396054,0.3159322764316493,0.19290727669005572,0.9458024186641124,177.96277807697612,0.3587966073831643,13.052099457562003,0.07522603043970548,0.2140625,0.10362390906860432
