model,lead_hours,corruption,severity,n_examples,localization_iou,type_accuracy,repair_l1_norm,repaired_nrmse,repaired_nmae,repaired_acc,repaired_rmse_phys_mixed,repaired_mae_phys_mixed,corrupted_input_nrmse,corrupted_input_nmae,corrupted_input_acc,corrupted_input_rmse_phys_mixed,corrupted_input_mae_phys_mixed,repaired_phys_moisture,repaired_phys_hydrostatic,repaired_phys_advection,repaired_phys_spectral,corrupted_input_phys_moisture,corrupted_input_phys_hydrostatic,corrupted_input_phys_advection,corrupted_input_phys_spectral,era5_target_phys_moisture,era5_target_phys_hydrostatic,era5_target_phys_advection,era5_target_phys_spectral,physics_improvement_moisture_pct,physics_improvement_hydrostatic_pct,physics_improvement_advection_pct,physics_improvement_spectral_pct,nrmse_improvement_pct,router_moisture,router_hydrostatic,router_advection,router_spectral
OLD_Full,6,moisture,0.25,64,0.07838588580489159,0.0,0.1261526644229889,0.21522071565609036,0.13367355204261067,0.9775643188400375,122.32370906119633,38.45144046308733,0.31513562302202436,0.19206710811155045,0.9472266670207335,200.2761560687303,48.4881162587093,0.00020174802921246737,0.00016520362987648696,3.7538098096847534,1.8435147404670715,0.0005648552323691547,0.00018187028035754338,3.0742626190185547,1.9832374453544617,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,64.28323264949111,9.164031884863778,-22.104396236751604,7.04518287584156,31.705367488381693,2.1080543888274406e-07,0.9999997615814209,4.1647395371247585e-14,1.9162836248365345e-11
OLD_Full,6,moisture,0.5,64,0.09633289650082588,0.0,0.1262504607439041,0.215342533313062,0.13376328407550903,0.9775377135043435,122.32663479611057,38.42919454803119,0.3157233149561046,0.19227560097639607,0.9477945137949726,200.27615606874184,48.488117636184434,0.00019898762548109517,0.00016524922102689743,3.7468576431274414,1.8432922959327698,0.0006938399747014046,0.00018187028035754338,3.0742626190185547,1.9832374453544617,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,71.32081852638574,9.138963935157623,-21.878255291137418,7.056399108916565,31.793908428016685,2.094659450335712e-07,0.9999997615814209,4.268375373474038e-14,1.953549041283642e-11
OLD_Full,6,moisture,1.0,64,0.035839689895510674,0.0,0.12816447764635086,0.21713122076388794,0.13504654151933201,0.9770213904923595,123.86039622289836,38.8729993957065,0.3200451921517894,0.19491579203466994,0.9431388876526928,200.27615606877316,48.488121267208534,0.00023557958047604188,0.0001654026345931925,3.7072373628616333,1.8440195322036743,0.0011940253316424787,0.00018187028035754338,3.0742626190185547,1.9832374453544617,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,80.27013546253805,9.05461064445314,-20.58948184606145,7.0197299610740815,32.15607480180235,2.057930714727263e-07,0.9999997615814209,3.665836961785386e-14,1.711827814915301e-11
OLD_Full,6,moisture,2.0,64,0.15765878185629845,0.0,0.1319836527109146,0.22934764674945998,0.1415018205085546,0.9731933810794116,133.89801595855582,40.05128448190009,0.3348170422993229,0.19994683581757794,0.9384539227176697,200.2761560689364,48.4881312638188,0.0006058313156245276,0.0001675855164648965,3.563022017478943,1.843095064163208,0.003953401930630207,0.00018187028035754338,3.0742626190185547,1.9832374453544617,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,84.67569636847037,7.85436953446385,-15.898427006096915,7.066344048692877,31.500605472637325,1.8111392563469053e-07,0.9999997913837433,3.358671051375455e-14,1.5899538630126386e-11
OLD_Full,6,hydrostatic,0.25,64,0.20869508385658264,0.0,0.12663571536540985,0.2179401902824056,0.13604951282668806,0.9768490414937092,127.94952076049624,40.31609577835795,0.3153683582138453,0.192823970422641,0.9472260739913496,203.5554754887315,50.44288897927181,0.00025679262762423605,0.00016707328177290037,3.721426844596863,1.8470087051391602,0.0005323977675288916,0.00018304301192983985,3.0742626190185547,1.9883896112442017,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,51.76677227327015,8.72457789487241,-21.05103908738,7.110322107173692,30.89345059321883,1.803250739840223e-07,0.9999997913837433,4.1079556341869564e-14,1.86487414052805e-11
OLD_Full,6,hydrostatic,0.5,64,0.3519669324159622,0.0,0.1282617598772049,0.22530930800089533,0.1413873106383503,0.9747675485858247,145.09401100406376,43.8583754171931,0.3167015119909142,0.19418226735561248,0.9467875107795892,210.6915282027068,53.4547222500848,0.00040771992644295096,0.0001775533237378113,3.6368625164031982,1.8606776595115662,0.0005323977675288916,0.00018845579324988648,3.0742626190185547,2.0041619539260864,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,23.418175035674754,5.785160182164765,-18.30032001508873,7.159316348333991,28.857520576864438,1.424711228992237e-07,0.9999998807907104,3.5011554609274895e-14,1.5867538186165042e-11
OLD_Full,6,hydrostatic,1.0,64,0.4123517572879791,0.0,0.13355392962694168,0.2544926380492973,0.15716331957240756,0.9671278316002346,183.30144542955847,51.897243198407274,0.32266500034181766,0.19746550863809567,0.9450407807029875,237.31252899844208,60.665372675313485,0.0006798289832659066,0.00020176720863673836,3.3605849742889404,1.9339715242385864,0.0005323977675288916,0.00021262508380459622,3.0742626190185547,2.07881760597229,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,-27.691929742927478,5.106582428363114,-9.313529478551606,6.967714787366216,21.127907340523905,3.858707131598749e-08,1.0,7.543933773295711e-15,3.665983207105927e-12
OLD_Full,6,hydrostatic,2.0,64,0.36312542855739594,0.0,0.27241021394729614,0.8261550980251651,0.32977158652435185,0.807912753608951,1236.9856450316638,159.82758703426683,0.3467123447783233,0.20466266403166727,0.9400204982881739,325.8969074206188,77.01349356130605,0.0047294944524765015,0.001272750028874725,6.67517614364624,2.8918055295944214,0.0005323977675288916,0.0003080935275647789,3.0742626190185547,2.342448592185974,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,-788.3385207320289,-313.10508498336435,-117.13096670242382,-23.452251598648196,-138.28257357071666,3.029572259727331e-09,1.0,3.8519393700139724e-16,1.9674320224198627e-13
OLD_Full,6,advection,0.25,64,0.07837815582752228,0.0,0.12669140100479126,0.2162139603008285,0.1343400691375242,0.9773444643489303,122.98898202958483,38.55256144378929,0.31678206529306663,0.19288405059128888,0.9468914730161623,200.27621797262412,48.492542260438405,0.0002098365657730028,0.00016921448695939034,4.474564790725708,1.88466477394104,0.0005511462513823062,0.00018564853962743655,3.168278455734253,1.9923210740089417,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,61.9272443118826,8.852239129392784,-41.23016184474611,5.403561778889181,31.746779887680475,2.0924302646108117e-07,0.9999997615814209,4.066451527991264e-14,1.88369432899127e-11
OLD_Full,6,advection,0.5,64,0.08600020408630371,0.0,0.1265084594488144,0.21621635800154898,0.1343503420235024,0.977348500725728,122.88337639937424,38.565282917499935,0.31682089994033524,0.19285150607838178,0.9468861357352891,200.27621273353878,48.49232628937908,0.0002066812157863751,0.00016770803631516173,3.8187289237976074,1.8542343378067017,0.0005448362499009818,0.00018435886886436492,3.0581706762313843,1.9852407574653625,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,62.065443365059274,9.03175022268845,-24.869712258946482,6.599019245702073,31.754389296202508,2.0966154323787123e-07,0.9999997615814209,4.059393202441794e-14,1.8815671243288534e-11
OLD_Full,6,advection,1.0,64,0.08217909932136536,0.0,0.12655087560415268,0.21648360181182763,0.1345138463383996,0.9772857216108279,123.05864844629444,38.5972127404871,0.31733240782569905,0.19309060059741787,0.9467456060179924,200.27622658185058,48.49290465000567,0.0002048703536274843,0.00016724195302231237,3.701024651527405,1.8454664945602417,0.0005453657358884811,0.00018399798136670142,3.044245958328247,1.9821636080741882,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,62.434318816579065,9.106637051085297,-21.574429339468644,6.896358754500463,31.78017861612942,2.0969189051811554e-07,0.9999997615814209,4.108414726044368e-14,1.8989023027604635e-11
OLD_Full,6,advection,2.0,64,0.08129498362541199,0.0,0.12800051271915436,0.22094360400448598,0.13680223049755466,0.9763045806658177,125.51349237011071,38.95635322489831,0.3233981078118281,0.1957479924377815,0.9450925718272144,200.27646946730832,48.50541924904736,0.0002392869646428153,0.00018039110000245273,13.606081008911133,1.9603461027145386,0.0006144245562609285,0.00019288992189103737,3.2048280239105225,1.9896714687347412,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,61.05511047621655,6.479769272572556,-324.54948931422,1.4738798078484299,31.680613254223534,2.0594708871612966e-07,0.9999997615814209,3.838844627108203e-14,1.8040740776270603e-11
OLD_Full,6,spectral,0.25,64,0.07124322652816772,0.0,0.12601879239082336,0.21513226666687232,0.1336126620017351,0.9775831808000949,122.27038199993405,38.438021134511324,0.31482462241794806,0.19187201389156314,0.9474051316408055,200.27615582319544,48.488115958848105,0.00020025666890433058,0.00016518762276973575,3.7544302940368652,1.8434830904006958,0.0005323977384250611,0.00018187028035754338,3.0742627382278442,1.9832373261451721,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,62.38589038775224,9.172833271610275,-22.124574693999737,7.046773167390778,31.665997082886456,2.106795733425315e-07,0.9999997615814209,4.1611357507473704e-14,1.9133296509654674e-11
OLD_Full,6,spectral,0.5,64,0.07972584664821625,0.0,0.12601880729198456,0.21513232029760151,0.1336126906745505,0.9775831671533056,122.27044566284816,38.43802691952289,0.31482462248078125,0.19187201475901544,0.947405133363587,200.27615582322352,48.48811620342278,0.00020025628327857703,0.0001651875936659053,3.7543888092041016,1.8434820771217346,0.0005323977675288916,0.00018187028035754338,3.074262857437134,1.9832375645637512,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,62.38596487583698,9.172849274131632,-22.12322053469287,7.0468354340977974,31.665980061411982,2.106806817891993e-07,0.9999997615814209,4.1611357507473704e-14,1.9135783235757486e-11
OLD_Full,6,spectral,1.0,64,0.07524493336677551,0.0,0.12601877748966217,0.21513235354265312,0.1336127023382673,0.9775831505562823,122.27045845680419,38.438027106333635,0.31482462254012367,0.1918720148996834,0.9474051284859688,200.2761563142625,48.488115813304056,0.00020025761477882043,0.00016518782649654895,3.75444495677948,1.8434820771217346,0.000532397796632722,0.00018187028035754338,3.0742627382278442,1.9832375645637512,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,62.38571683703466,9.172721253960773,-22.1250516455118,7.0468354340977974,31.665969514428625,2.1067788935624776e-07,0.9999997615814209,4.1611357507473704e-14,1.9134861230230005e-11
OLD_Full,6,spectral,2.0,64,0.07517575472593307,0.0,0.12601877748966217,0.21513224281604176,0.1336126621189584,0.9775831776369013,122.2704220869373,38.438015416997764,0.3148246216907123,0.19187201443079024,0.9474051302014891,200.27616064108946,48.48811677959935,0.0002002590845222585,0.00016518778284080327,3.754402279853821,1.8434829711914062,0.0005323975929059088,0.00018187028035754338,3.0742629766464233,1.9832376837730408,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,62.385426382337066,9.17274525774281,-22.12365397410898,7.046795940048701,31.666004500947064,2.1067733513291387e-07,0.9999997615814209,4.1611357507473704e-14,1.9133296509654674e-11
OLD_Full,6,range_extreme,0.25,64,0.07657650858163834,1.0,0.1261344775557518,0.21599986455139542,0.1343774458052186,0.9773520274407353,129.12308055943294,39.3210583242592,0.315503413375804,0.19253467149189216,0.947156149431978,205.45865047322113,49.340589422221434,0.00020337595196906477,0.0002166239864891395,3.80903422832489,2.4829423427581787,0.0005348522972781211,0.00023375731689156964,3.1073782444000244,2.619942307472229,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,61.97530551816812,7.329537586358245,-22.580321053265987,5.229121432304764,31.53802608971695,2.1024046503725913e-07,0.9999997615814209,4.146523754780876e-14,1.9098800665973137e-11
OLD_Full,6,range_extreme,0.5,64,0.09605944901704788,1.0,0.12646297365427017,0.21875561709016356,0.13587392349450286,0.9766127928807508,148.5686289207612,40.6128440452937,0.31764852488148376,0.19365187815596496,0.9463718980344888,220.85395356102808,50.40729175365871,0.00021376820950536057,0.0003784640139201656,4.119577884674072,3.620732307434082,0.0005402263486757874,0.00039705711242277175,3.2859489917755127,3.759206771850586,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,60.42988091392561,4.682726469538445,-25.36950193034253,3.683608612684414,31.132808763465103,2.0865176253437312e-07,0.9999997615814209,4.110420330656877e-14,1.8939280699292738e-11
OLD_Full,6,range_extreme,1.0,64,0.13636820018291473,1.0,0.12753421068191528,0.23180620825632217,0.14065805898245792,0.9729542168993042,219.71603439396745,44.15451081242281,0.3273862204988135,0.19644347743424767,0.9427859257564069,282.26758773687766,52.99148838816984,0.0002626549976412207,0.0010598586522974074,5.1637632846832275,6.113127708435059,0.0005569261847995222,0.001084442250430584,3.942047357559204,6.2911365032196045,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,52.83845421350244,2.2669347421142536,-30.99191400583459,2.8295172850477277,29.19487939866966,2.0100033992775934e-07,0.9999997615814209,3.9172637843979535e-14,1.8206827538669312e-11
OLD_Full,6,range_extreme,2.0,64,0.15825839340686798,1.0,0.13402556627988815,0.2800750082488286,0.1531748065558853,0.9578333708145832,381.24803396129147,51.66121304286287,0.3534490867082226,0.19977850355620935,0.9329821995921095,408.0432329718112,55.84136630426345,0.0004815409192815423,0.0031130689894780517,10.654257774353027,10.327917098999023,0.0005921685078646988,0.003137697000056505,6.795465707778931,10.241841793060303,1.5170947790466016e-05,6.411178037524223e-05,4.56413197517395,0.0008358538616448641,18.68177505454801,0.784907229028489,-56.784806700692286,-0.8404279979900086,20.759447744722962,1.7365401561164617e-07,0.9999997913837433,3.206380202579878e-14,1.5298077041259184e-11
OLD_Full,24,moisture,0.25,64,0.0011727873934432864,0.0,0.08441490307450294,0.30055831687728957,0.17730628353340855,0.9550411375899815,129.2075121497358,40.289083837920714,0.3304190912036795,0.20095370226711934,0.9408082002874312,206.1973352812271,50.46616539389749,0.00032279928564094007,0.00016784348554210737,21.4689359664917,2.06221342086792,0.0004969390574842691,0.00018689280841499567,15.221463680267334,2.0532866716384888,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,35.042480404921996,10.19264627378773,-41.04383400607793,-0.4347541603777983,9.037242435844282,1.6492895582587153e-07,0.9999998211860657,3.097621722723842e-16,6.141029525175146e-13
OLD_Full,24,moisture,0.5,64,0.0017557903192937374,0.0,0.08436346054077148,0.3007805021153146,0.17743915375843244,0.9549934421657058,129.26685508416668,40.28795773200557,0.33092813364897594,0.2011186380541547,0.9413977829271821,206.19733528123595,50.46616651518545,0.00035964473499916494,0.00016794159455457702,21.42948818206787,2.062013864517212,0.0006209311541169882,0.00018689280841499567,15.221463680267334,2.0532866716384888,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,42.07977283558797,10.14015147032167,-40.78467506280911,-0.42503528607425234,9.110023738761274,1.6446107053980086e-07,0.9999998211860657,3.203384638798178e-16,6.287731565881444e-13
OLD_Full,24,moisture,1.0,64,0.0019068639958277345,0.0,0.08561750873923302,0.3018580646417845,0.17827133212356652,0.9545044263240833,130.18047687307327,40.519411581185146,0.3335624989092529,0.20281768921925625,0.9385878825576398,206.19733528125897,50.46616903614965,0.00048120319843292236,0.0001680061614024453,21.41196060180664,2.061502456665039,0.0009225065005011857,0.00018689280841499567,15.221463680267334,2.0532866716384888,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,47.83741922994678,10.10560394095666,-40.66952463687502,-0.400128493504233,9.504795764254576,1.643943647877677e-07,0.9999998211860657,3.110342437055927e-16,6.155538318647347e-13
OLD_Full,24,moisture,2.0,64,0.01586486678570509,0.0,0.09014702588319778,0.30703197955480593,0.18165710249391057,0.9525445872097728,135.06172875164066,41.1905045347221,0.3453688135001988,0.20751719610722516,0.9364829046813853,206.19733528140134,50.46617842642877,0.0011324657243676484,0.00016967963165370747,20.754719734191895,2.0576624870300293,0.0030091466614976525,0.00018689280841499567,15.221463680267334,2.0532866716384888,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,62.365884692239625,9.210186794917394,-36.35166873667816,-0.21311273540039585,11.100259330557888,1.5766748617807025e-07,0.9999998509883881,3.889182614611356e-16,7.456212838992393e-13
OLD_Full,24,hydrostatic,0.25,64,0.012278723064810038,0.0,0.08504755049943924,0.3015479703450206,0.17865366972162175,0.9545508938284881,132.99662581430962,41.77822164897186,0.33067218233518353,0.20164067413355358,0.9408012658985263,208.35884742791376,51.957203009851625,0.000328596870531328,0.00016957403568085283,21.317687034606934,2.065775990486145,0.0004793835832970217,0.00018777199875330552,15.221463680267334,2.0576032400131226,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,31.454292140886185,9.69152120298892,-40.05017836913127,-0.39719758960771945,8.807578485885866,1.4250364444023944e-07,0.9999998807907104,3.216096485754097e-16,6.178888509785624e-13
OLD_Full,24,hydrostatic,0.5,64,0.19185882806777954,0.0,0.08665351569652557,0.3050136436810914,0.18200992730142,0.9529317848074824,150.14655905335715,45.75887002748264,0.3321165718218822,0.20321430182344438,0.9403169625709334,215.85664673814958,55.31271914787429,0.0003524016501614824,0.0001806617365218699,20.90669345855713,2.079367995262146,0.0004793835832970217,0.00019372753013158217,15.221463680267334,2.0743404626846313,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,26.488586084280332,6.744417585274443,-37.35008602135918,-0.2423677630531281,8.1606671995056,1.0887766066502991e-07,0.9999998807907104,2.9999469125046e-16,5.541295232999038e-13
OLD_Full,24,hydrostatic,1.0,64,0.9181388020515442,0.0,0.09076151996850967,0.31475013094463017,0.18885096799255918,0.9494466831788498,182.9466758126957,52.38983403427102,0.33678332604156164,0.2057456165750078,0.9388381236250674,236.70418641012344,60.9403607959711,0.000345271808328107,0.0002040881008724682,19.397119522094727,2.138486862182617,0.0004793835832970217,0.00021370185277191922,15.221463680267334,2.1409741640090942,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,27.975879784314653,4.498675034751163,-27.432682753371427,0.11617617196367463,6.5422464217282545,3.901284983953701e-08,1.0,9.733388938413909e-17,1.7575308884024837e-13
OLD_Full,24,hydrostatic,2.0,64,0.9165996313095093,0.0,0.20436428487300873,0.6946898673078046,0.30615563431822423,0.8320474948677434,977.51570241416,128.37352503022933,0.35884403286499905,0.21295982788613424,0.9339649859326224,319.64341766432943,77.04916145727698,0.00210066104773432,0.0008833845786284655,27.739057540893555,2.8385173082351685,0.0004793835832970217,0.0003111400583293289,15.221463680267334,2.4005542993545532,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,-338.2004559452696,-183.91862602707346,-82.23646637119181,-18.244245047836333,-93.59103222684891,2.4038820933824923e-09,1.0,3.593060926091115e-18,5.1904690347338725e-15
OLD_Full,24,advection,0.25,64,0.0012540579482447356,0.0,0.08447285741567612,0.30191701979493735,0.17809412711457395,0.9546786548530616,129.54189146972888,40.35065962290075,0.3318098627398315,0.2017279289102261,0.9404910822485768,206.19739264641242,50.470689895958,0.00032206278410740197,0.0001699270142125897,20.890884399414062,2.0635021924972534,0.0004974238690920174,0.0001890293278847821,14.867772102355957,2.0527052879333496,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,35.25385408318147,10.105476163908127,-40.51119599891956,-0.5259841550256862,9.00902785048701,1.6688502313400022e-07,0.9999998211860657,3.036744803060185e-16,6.076438451799865e-13
OLD_Full,24,advection,0.5,64,0.00369961722753942,0.0,0.08449503034353256,0.3016649897397594,0.17795197341498195,0.9547379014727311,129.55139886467316,40.35412136699964,0.33151217223104673,0.20157150934791737,0.9405633140260797,206.1973849701803,50.4697599943955,0.00032259679574053735,0.00016979109932435676,20.857145309448242,2.0643208026885986,0.0005004040722269565,0.0001888545011752285,14.911780834197998,2.0532153844833374,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,35.53273971075425,10.094226895436174,-39.8702511883451,-0.5408793587456853,9.003344369052424,1.657049608638772e-07,0.9999998211860657,3.081560786903818e-16,6.131859343200263e-13
OLD_Full,24,advection,1.0,64,0.0027635558508336544,0.0,0.0845659114420414,0.302963201690752,0.17858984523026633,0.9543993344631646,129.78798801354705,40.4038866549369,0.33295776181392256,0.2022776949546821,0.9401715709843946,206.1974225719604,50.47232625031598,0.00032293076219502836,0.00017024492990458384,20.74585247039795,2.0631452798843384,0.0004890304699074477,0.00018934631225420162,14.791568279266357,2.052212953567505,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,33.96510400340797,10.088066739833701,-40.254583413429074,-0.532709156612089,9.00851806540355,1.660141535353432e-07,0.9999998211860657,3.0596375889954067e-16,6.100437266887832e-13
OLD_Full,24,advection,2.0,64,0.010274918749928474,0.0,0.08513060212135315,0.30829469442142216,0.1809106828784481,0.9529239534399786,130.60650845594245,40.591821759999085,0.3388262505778715,0.20472261199589495,0.9384876772032226,206.19760442174453,50.48234570414045,0.0003511913528200239,0.00017607839981792495,26.963804244995117,2.076570153236389,0.0005484887806233019,0.00019498681649565697,14.568193435668945,2.0509992837905884,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,35.971096360270025,9.697279548206366,-85.08680821725366,-1.2467517491542734,9.01097719092824,1.6530209734355594e-07,0.9999998211860657,3.015450130068416e-16,6.049174561869458e-13
OLD_Full,24,spectral,0.25,64,0.0017808743577916175,0.0,0.08433374762535095,0.3004719270240099,0.17723775754433865,0.9550738060842052,129.1508982450316,40.27478678560248,0.3302273442486847,0.2008315611845414,0.9409520256711599,206.19733563898924,50.466165347762434,0.00031425905763171613,0.0001678364133113064,21.46635627746582,2.0622822046279907,0.000479383539641276,0.00018689280841499567,15.221463680267334,2.0532866716384888,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,34.44517142435115,10.196430384509252,-41.02688629933917,-0.43810409494957014,9.01058550810586,1.6533465441170847e-07,0.9999998211860657,3.0983967578705795e-16,6.152992069845264e-13
OLD_Full,24,spectral,0.5,64,0.0018405937007628381,0.0,0.08433377742767334,0.30047194876403516,0.17723774849470111,0.9550738019962333,129.15080250044983,40.27477739271594,0.3302273433568037,0.20083156083287154,0.9409520217819479,206.19733575818879,50.46616554207111,0.0003142592468066141,0.00016783647879492491,21.466267585754395,2.0622808933258057,0.00047938365605659783,0.00018689280841499567,15.221464157104492,2.0532866716384888,1.9070460893999552e-05,5.423848779173568e-05,26.56687641143799,0.002622316940687597,34.44514788182276,10.196395346447016,-41.02629920614563,-0.43804023137887776,9.010578679009772,1.6540801084374834e-07,0.9999998211860657,3.1004542538390193e-16,6.155494137408818e-13
