model,severity,repaired_nrmse,repaired_nmae,repaired_acc,repaired_rmse_phys_mixed,repaired_mae_phys_mixed,corrupted_input_nrmse,nrmse_improvement_pct,localization_iou,type_accuracy,repair_l1_norm,repaired_phys_moisture,corrupted_input_phys_moisture,era5_target_phys_moisture,physics_improvement_moisture_pct,repaired_phys_hydrostatic,corrupted_input_phys_hydrostatic,era5_target_phys_hydrostatic,physics_improvement_hydrostatic_pct,repaired_phys_advection,corrupted_input_phys_advection,era5_target_phys_advection,physics_improvement_advection_pct,repaired_phys_spectral,corrupted_input_phys_spectral,era5_target_phys_spectral,physics_improvement_spectral_pct
Direct_State,0.25,0.3026617897462073,0.18083362808503017,0.9501769237308924,140.22377801603395,45.09803828764851,0.3535194351181041,15.67257929544714,0.07127556364368198,0.2,0.1097077506283919,0.00036803206991559514,0.0005126599552265058,4.0472938356591236e-05,27.74075670323083,5.459493525753108e-05,0.00019491481507429853,5.821020507331317e-05,71.71473267932988,34.27040153344472,33.25226958592733,45.38489031791687,-10.277823357559106,1.1178525805473327,2.1942891478538513,0.003148488816805184,49.039988950921334
Direct_State,0.5,0.3033198980908767,0.18147923886823872,0.9499749211248005,141.59732163728543,45.56541294934977,0.3542444724882033,15.64801876049727,0.07965978961598617,0.2,0.11016647939880689,0.0004086237866431475,0.0005474803620018065,4.0472938356591236e-05,25.008571327727488,5.458753694256302e-05,0.00022770298431472232,5.821020507331317e-05,73.74932208095986,34.20324060916901,34.35791517098745,45.38489031791687,-7.882612337668833,1.1134937544663748,2.4118329167366026,0.003148488816805184,51.54459963863333
Direct_State,1.0,0.30595722311155016,0.18349493811602133,0.949137186219723,146.50608797513095,46.78907204061991,0.35755005701021497,15.64039464626291,0.08813084567946135,0.2,0.11172222023208936,0.0004316383477998897,0.0006216942051347966,4.0472938356591236e-05,24.839343872990618,5.4148921844898726e-05,0.00035677952400874345,5.821020507331317e-05,76.27717162883373,34.12605366706848,38.56906176408132,45.38489031791687,-1.987254281276798,1.1061794598897299,2.89407567580541,0.003148488816805184,54.13227476083587
Direct_State,2.0,0.31634553750761374,0.1898099352129914,0.9456067726639141,161.3145911610021,49.652844290693636,0.3698491196932868,15.506841944943668,0.17161732131001675,0.2,0.1171105573574702,0.0009430328277327741,0.0010518013761611656,4.0472938356591236e-05,-37.768287762854314,5.435622369986959e-05,0.0008176748568075709,5.821020507331317e-05,78.72041686359033,33.617924547195436,51.10165901978811,45.38489031791687,8.012958284554172,1.1160292347272238,3.7730087439219155,0.003148488816805184,56.472367483997594
No_Pretrain,0.25,0.29549041347574856,0.17642669197503624,0.9520059358708023,131.90658268093202,42.871265902371185,0.3535193911393585,17.853861195453824,0.08939206550518672,0.2,0.10205251847704251,0.00026158449181821195,0.0005126673291670159,4.0472938356591236e-05,49.22040605352083,0.0001560564992056849,0.00019491830510863414,5.821020507331317e-05,20.037102003146188,47.54887467225392,33.240124869346616,45.38489031791687,-41.57481156583797,2.0506532510121662,2.1938068826993304,0.003148488816805184,6.806120881038576
No_Pretrain,0.5,0.2961894553265278,0.17701496000258385,0.9517635629344484,137.61322487980155,43.811913506483215,0.3542446931863804,17.816018299782016,0.09108217184742291,0.2,0.10220606202880542,0.00027190670613587523,0.0005474757306122532,4.0472938356591236e-05,50.26240364280493,0.0001868732050449277,0.00022764001526714612,5.821020507331317e-05,18.78694223873003,49.271481204032895,34.4406721830368,45.38489031791687,-40.954869338506,2.2461879094441732,2.4120156089464824,0.003148488816805184,7.032764913936546
No_Pretrain,1.0,0.299224635952794,0.17863206324383502,0.950755795976818,155.9187020652232,45.81879905124824,0.35755732006879093,17.68482378684067,0.08939132119218508,0.2,0.10290043850739797,0.000309952207802174,0.000621738774740758,4.0472938356591236e-05,49.640446863701676,0.0003090153467686226,0.00035650876719349375,5.821020507331317e-05,16.520788737643127,54.45298068523407,38.89446637630463,45.38489031791687,-39.21988725298261,2.664077337582906,2.893030862013499,0.003148488816805184,7.556438935417405
No_Pretrain,2.0,0.3121307589748945,0.18322100007288974,0.946712585367367,208.6446007117344,50.80037127715644,0.36985584196422655,16.82366774020984,0.08737859576940536,0.2,0.10508087426424026,0.00043518704381616166,0.0010516490137282139,4.0472938356591236e-05,49.537853670002534,0.0007637707337077396,0.0008171961181991113,5.821020507331317e-05,12.973128736153814,73.61953554153442,52.99441117445628,45.38489031791687,-39.789315200817704,3.4996476848920186,3.7721223990122477,0.003148488816805184,7.173920888378526
OLD_Full,0.25,0.3071399048180165,0.1844172801606652,0.9487672197637644,149.21519657079364,46.488163137876,0.3535194052391244,14.3017625916587,0.035473651551243775,0.2,0.09081620573997498,0.0002929911546137494,0.0005126887845108286,4.0472938356591236e-05,42.286774352322325,0.0001776838621784312,0.00019489965925458818,5.821020507331317e-05,8.89978856163134,41.510753464698794,33.23494247595469,45.38489031791687,-29.46440986905612,2.1700851480166117,2.1935598413149515,0.003148488816805184,1.17986666882217
OLD_Full,0.5,0.3084260886453887,0.18544441855169647,0.9482790470183166,155.66329568644298,47.51640024085699,0.35424668966617456,14.094834750757208,0.06110608213192184,0.2,0.0911837582786878,0.00032077419261137646,0.0005475286986135567,4.0472938356591236e-05,40.77697743033387,0.00021130848520745834,0.0002278520977900674,5.821020507331317e-05,7.826284871677264,43.51151312192281,34.31449205875397,45.38489031791687,-28.94338810353229,2.3821508288383484,2.4127955476442975,0.003148488816805184,1.328399451769297
OLD_Full,1.0,0.3136408511396674,0.18835837321782126,0.946477390794581,174.38492906755576,49.71645619909411,0.357552510374967,13.353448181237582,0.16452353013628454,0.2,0.09267835592230161,0.00037580252149685596,0.0006217020389158278,4.0472938356591236e-05,36.21600145890531,0.0003396135095196466,0.00035641248784183216,5.821020507331317e-05,6.904310529815149,48.45335621039073,38.99564441839854,45.38489031791687,-26.900990323316268,2.845537587006887,2.892846246560415,0.003148488816805184,1.5215229051300534
OLD_Full,2.0,0.40657076449930013,0.21791799798479355,0.9169476081919065,375.7828848504605,68.05785169692322,0.3698742954116488,-9.005889057876724,0.1929181440494176,0.2,0.11973024917145571,0.0010438365992740729,0.0010520284520074104,4.0472938356591236e-05,-63.558086072036645,0.0009402861634346967,0.0008177912255632691,5.821020507331317e-05,-39.073480068265276,80.68894201914469,52.78337411085764,45.38489031791687,-77.5980159678872,3.852321394284566,3.7737487316131593,0.003148488816805184,-3.332356305041525
Smart_Final,0.25,0.3101685784454024,0.18995332643645294,0.9478312589187181,155.26272846727244,48.614078117080375,0.353519106223314,13.426975042508207,4.6455523746165756e-05,0.20104166666666667,0.10180452068646749,0.00012769586198070707,0.0005126764871723329,4.0472938356591236e-05,74.83818123483907,8.393863681703806e-05,0.00019494597072480246,5.821020507331317e-05,57.29009581841661,2.82594454685847,33.26485285758972,45.38489031791687,75.88428774806796,1.2683344960212708,2.193752340475718,0.003148488816805184,42.66936316687095
Smart_Final,0.5,0.31093909041062295,0.19063146445932683,0.9475604304405874,159.60057879137676,49.46535753913603,0.3542440131171048,13.377633621377145,0.0036180067868372134,0.20625,0.10216085289915403,0.00013148709549568594,0.0005474883131682873,4.0472938356591236e-05,76.15866101251649,0.00011057126515273315,0.00022773384504641095,5.821020507331317e-05,54.51559059106528,2.9516976634661356,34.35251841545105,45.38489031791687,75.82345807952485,1.4877766450246175,2.4120594461758933,0.003148488816805184,40.65179585689987
Smart_Final,1.0,0.31438334057500084,0.19268640960323105,0.9463329725135714,175.04628195389168,51.48408014046606,0.357553724223843,13.174008489728775,0.10914221914592113,0.21666666666666667,0.10338215480248134,0.00021659239816168945,0.0006217054149601608,4.0472938356591236e-05,69.62409287270813,0.00021655284702622643,0.0003558664864006763,5.821020507331317e-05,51.2408791251973,3.4017550031344097,38.07753476301829,45.38489031791687,75.81747996069026,1.9640994707743327,2.891373646259308,0.003148488816805184,38.60702891899028
Smart_Final,2.0,0.32823809629557105,0.19835790626121208,0.941485012783573,221.94152309536366,56.134682109223164,0.3698695859683954,12.229780676633883,0.1880974403023174,0.23229166666666667,0.10714810788631439,0.000508723206682286,0.001051617818302475,4.0472938356591236e-05,64.52624430132083,0.0006411348302208352,0.000822879459883552,5.821020507331317e-05,46.51431427700575,6.06609537601471,58.75311577320099,45.38489031791687,75.33244661070232,2.9314647277196246,3.7759550253550214,0.003148488816805184,35.402631593539034
