stage,epoch,global_step,train_total,val_repair_mse,elapsed_seconds
pretrain,0,198647,0.013029952970603302,0.12861949671059847,370427.67
pretrain,1,286294,0.011185487119027972,0.12844970566220582,778578.45
finetune,0,373941,0.09255326964035165,0.09961959975771606,1210171.43
