stage,epoch,global_step,train_total,val_repair_mse,elapsed_seconds
pretrain,0,184647,0.013451249597267161,0.12810533307492733,394574.58
pretrain,1,272294,0.009800352889894547,0.12828152859583497,790847.79
finetune,0,359941,0.09205798364336112,0.09904158697463572,1187401.87
