==============================================================================
ConserveFM unified parallel scheduler
==============================================================================
plan rows       : 2
train rows      : 1
eval rows       : 1
max parallel    : 1
GPU             : 0
smoke           : False
==============================================================================

[STATUS 2026-09-12 07:02:41] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.5/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:43] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.5/62.8GiB uEMA=9% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:45] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=21% RAMavail=55.7/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:47] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.7/62.8GiB uEMA=15% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:49] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=17% RAMavail=55.6/62.8GiB uEMA=15% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:51] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=25% RAMavail=56.0/62.8GiB uEMA=18% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:53] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=56.0/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:55] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.7/62.8GiB uEMA=16% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:57] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.7/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:02:59] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.6/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:01] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=15% RAMavail=56.0/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:03] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=56.0/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:05] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=24% RAMavail=56.0/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:07] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=47% RAMavail=56.0/62.8GiB uEMA=22% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:10] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=1% RAMavail=56.0/62.8GiB uEMA=17% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:12] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.9/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:14] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=6% RAMavail=55.8/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:16] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=14% RAMavail=55.8/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:18] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=55.8/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:20] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=55.6/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:22] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=6% RAMavail=55.7/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:24] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=44% RAMavail=55.8/62.8GiB uEMA=16% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:26] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.9/62.8GiB uEMA=18% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:28] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.9/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:30] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=56.1/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:32] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=56.0/62.8GiB uEMA=9% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:34] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.7/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:36] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=9% RAMavail=55.4/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:03:38] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.7/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
