stage,epoch,global_step,train_total,val_repair_mse,elapsed_seconds
pretrain,0,187647,0.012350820166076528,0.12898797076195478,372328.46
pretrain,1,275294,0.010100906370045949,0.12913857423700392,742906.05
finetune,0,362941,0.09220770421055421,0.09915661695413291,1113934.62
